date,asset,open,high,low,close,volume,turnover,trailing-high,trailing-ago,prct-decline,trailing-max-decline,idx,setup,signal,initial,px0,px5,px10,px20,px40
2024-03-20 00:00:00+00:00,EWY,65.81,66.83,65.71,66.795,235322,1.571833299E7,67.95,165,-0.03296541574687284,-0.19801324503311268,246,true,true,true,67.535,67.31,66.12,61.825,66.4
2025-10-17 00:00:00+00:00,EXC,47.545,48.07,47.385,47.79,386291,1.846084689E7,48.21,135,-0.01711263223397641,-0.15475643382352955,642,true,true,true,48.245,48.04,46.11,45.945,43.87
2024-09-27 00:00:00+00:00,EXPD,128.64,129.67,128.18,128.94,39165,5049935.1,131.16,170,-0.022720341567550983,-0.16295775747638008,378,true,true,true,131.35,120.48,122.99,119.84,121.33
2025-09-04 00:00:00+00:00,FALN,27.295,27.33,27.235,27.33,171524,4687750.92,27.42,232,-0.006746900072939543,-0.08679795769511311,611,true,true,true,27.405,27.56,27.705,27.69,27.57
2024-08-01 00:00:00+00:00,FBND,45.94,46.025,45.9,45.95,64392,2958812.4000000004,46.19,149,-0.006278415241394275,-0.09526854219948844,338,true,true,true,46.47,45.94,46.27,46.39,46.825
2023-10-25 00:00:00+00:00,FCN,183.865,185.535,182.69,183.995,42253,7774340.735,205.64,135,-0.11160280101147635,-0.18323283407897284,146,true,true,true,216.34,217.72,216.34,221.43,198.825
2024-07-24 00:00:00+00:00,FCN,227.025,231.05,226.675,230.43,8982,2069722.26,232.17,159,-0.023668001895162938,-0.19925054916655893,332,true,true,true,225.6,217.76,214.65,224.75,225.33
2023-12-13 00:00:00+00:00,FDL,34.73,35.57,34.67,35.57,80646,2868578.22,36.38,166,-0.0470038482682793,-0.13496426608026402,180,true,true,true,36.28,35.78,35.97,35.98,36.28
2024-11-12 00:00:00+00:00,FDS,481.04,487.13,479.75,484.325,27773,1.3451158225E7,488.41,164,-0.017731004688683716,-0.1980917671628345,410,true,true,true,490.91,481.34,490.81,489.995,454.94
2025-09-25 00:00:00+00:00,FE,44.225,44.57,43.875,44.26,352143,1.558584918E7,44.91,264,-0.023046092184368705,-0.16321531952794477,626,true,true,true,45.43,45.46,46.67,46.51,46.585
2024-03-27 00:00:00+00:00,FENY,25.28,25.6,25.28,25.6,36326,929945.6000000001,25.74,134,-0.017871017871017747,-0.15578865578865575,251,true,true,true,25.91,26.57,26.74,26.455,25.105
2025-02-12 00:00:00+00:00,FEZ,53.26,54.25,53.23,54.12,499381,2.702649972E7,54.8,186,-0.028649635036496313,-0.14032846715328462,471,true,true,true,54.675,54.82,53.97,55.14,51.8
2024-08-01 00:00:00+00:00,FIXD,44.27,44.43,44.27,44.375,46936,2082785.0,44.99,144,-0.016003556345854597,-0.10551663747810858,338,true,true,true,45.0,44.345,44.69,44.88,45.36
2024-01-09 00:00:00+00:00,FLJP,27.97,28.04,27.925,27.94,14760,412394.4,28.32,143,-0.013947740112994378,-0.11352401129943501,197,true,true,true,28.455,28.31,28.74,28.965,31.32
2025-05-20 00:00:00+00:00,FLJP,31.09,31.25,31.09,31.23,94058,2937431.34,31.29,279,-0.006391818472355371,-0.17656449553001285,538,true,true,true,31.0,31.52,31.77,31.595,30.905
2024-04-03 00:00:00+00:00,FNDE,27.96,28.12,27.91,28.06,49626,1392505.5599999998,28.36,170,-0.015867418899858876,-0.11354019746121291,255,true,true,true,27.975,28.18,27.235,28.305,29.675
2025-05-09 00:00:00+00:00,FNDF,37.76,37.79,37.64,37.75,56411,2129515.25,37.86,153,-0.005810882197569978,-0.15662968832540936,531,true,true,true,37.94,38.26,38.68,39.505,40.535
2024-07-09 00:00:00+00:00,FOXA,34.42,35.27,34.41,35.19,170949,6015695.31,35.355,229,-0.026728892660161208,-0.19983029274501485,321,true,true,true,35.31,36.74,37.07,38.8,41.17
2023-11-30 00:00:00+00:00,FPE,16.31,16.36,16.31,16.345,61704,1008551.8799999999,16.45,158,-0.008510638297872353,-0.06048632218844985,171,true,true,true,16.455,16.525,16.48,16.85,17.15
2025-09-09 00:00:00+00:00,FPE,18.195,18.21,18.185,18.205,108983,1984035.515,18.23,238,-0.0024684585847505325,-0.07871640153592974,614,true,true,true,18.25,18.375,18.385,18.275,18.32
